,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
Neutron,0,1,1,608.9,s,symmetric,,,,,,
2n,0,2,2,,,,,,,,,
4n,0,4,4,,,,,,,,,
1H,1,0,1,STABLE,,,,,,,,
2H,1,1,2,STABLE,,,,,,,,
3H,1,2,3,12.3221,y,symmetric,,,,,,
4H,1,3,4,3.3,MeV,symmetric,,,,,,
5H,1,4,5,5.3,MeV,symmetric,,,,,,
6H,1,5,6,1.5,MeV,symmetric,,,,,,
7H,1,6,7,0.18,MeV,asymmetric,,,,,,
3He,2,1,3,STABLE,,,,,,,,
4He,2,2,4,STABLE,,,,,,,0.0,keV
5He,2,3,5,719,keV,symmetric,,,,,735.0,keV
6He,2,4,6,807.12,ms,symmetric,,,,,,
7He,2,5,7,195,keV,symmetric,,,,,,
8He,2,6,8,119,ms,symmetric,,,,,,
9He,2,7,9,180,keV,symmetric,,,,,,
10He,2,8,10,1.8,MeV,symmetric,,,,,,
2He,2,0,2,,,,,,,,,
3Li,3,0,3,,,,,,,,,
4Li,3,1,4,5,MeV,symmetric,,,,,,
5Li,3,2,5,1.23,MeV,symmetric,,,,,1964.9999,keV
6Li,3,3,6,STABLE,,,,,,,-1473.7583,keV
7Li,3,4,7,STABLE,,,,,,,-2467.6221,keV
8Li,3,5,8,838.79,ms,symmetric,,,,,-6100.2403,keV
9Li,3,6,9,178,ms,symmetric,,,,,-10362.4579,keV
10Li,3,7,10,0.23,MeV,limit,,,,,-11248.0128,keV
11Li,3,8,11,8.75,ms,symmetric,,,,,-10832.0,keV
12Li,3,9,12,,,,,,,,,
13Li,3,10,13,125,keV,asymmetric,,,,,,
5Be,4,1,5,,,,,,,,,
6Be,4,2,6,92,keV,symmetric,,,,,,
7Be,4,3,7,53.3,d,symmetric,,,,,-1587.1371,keV
8Be,4,4,8,5.57,eV,symmetric,100.0,unreported,5.57,eV,91.8399,keV
9Be,4,5,9,STABLE,,,,,,,-2307.6989,keV
10Be,4,6,10,1385587,y,symmetric,,,,,-7409.5245,keV
11Be,4,7,11,13.77,s,symmetric,,,,,-8320.8746,keV
12Be,4,8,12,21.46,ms,symmetric,,,,,-8956.8373,keV
13Be,4,9,13,450,keV,symmetric,,,,,-9701.6627,keV
15Be,4,11,15,580,keV,symmetric,,,,,,
16Be,4,12,16,0.8,MeV,asymmetric,,,,,,
14Be,4,10,14,4.65,ms,symmetric,,,,,-11667.5601,keV
17B,5,12,17,5.07,ms,symmetric,,,,,-15689.4889,keV
18B,5,13,18,,,,,,,,,
19B,5,14,19,2.92,ms,symmetric,,,,,,
20B,5,15,20,500,keV,limit,,,,,,
21B,5,16,21,600,keV,limit,,,,,,
15B,5,10,15,10.18,ms,symmetric,,,,,-14195.795,keV
16B,5,11,16,100,keV,limit,,,,,-14322.7938,keV
6B,5,1,6,,,,,,,,,
7B,5,2,7,801,keV,symmetric,,,,,-3415.0,keV
8B,5,3,8,772.1,ms,symmetric,,,,,-4826.5368,keV
9B,5,4,9,540,eV,symmetric,,,,,-1687.3169,keV
10B,5,5,10,STABLE,,,,,,,-4461.1857,keV
11B,5,6,11,STABLE,,,,,,,-8664.3124,keV
12B,5,7,12,20.22,ms,symmetric,,,,,-10001.3225,keV
13B,5,8,13,17.16,ms,symmetric,,,,,-10817.8729,keV
14B,5,9,14,12.34,ms,symmetric,,,,,-11813.8576,keV
8C,6,2,8,130,keV,symmetric,,,,,,
9C,6,3,9,126.5,ms,symmetric,,,,,-10653.0,keV
10C,6,4,10,19.3015,s,symmetric,,,,,-5101.2767,keV
11C,6,5,11,20.3401,m,symmetric,,,,,-7544.5165,keV
12C,6,6,12,STABLE,,,,,,,-7366.5875,keV
13C,6,7,13,STABLE,,,,,,,-10648.3575,keV
14C,6,8,14,5686,y,symmetric,,,,,-12012.5091,keV
15C,6,9,15,2.451,s,symmetric,,,,,-12728.9395,keV
20C,6,14,20,16,ms,symmetric,,,,,-22368.4878,keV
19C,6,13,19,46.3,ms,symmetric,,,,,-19836.982,keV
22C,6,16,22,6.1,ms,asymmetric,,,,,,
21C,6,15,21,,,,,,,,,
23C,6,17,23,,,,,,,,,
16C,6,10,16,750,ms,symmetric,,,,,-13808.5442,keV
18C,6,12,18,92,ms,symmetric,,,,,-17460.1527,keV
17C,6,11,17,193,ms,symmetric,,,,,-15052.1159,keV
22N,7,15,22,20.9,ms,symmetric,,,,,-22452.7511,keV
21N,7,14,21,85.3,ms,symmetric,,,,,-20909.3222,keV
24N,7,17,24,52,ns,limit,,,,,-24888.0,keV
23N,7,16,23,14.1,ms,asymmetric,,,,,-25474.7374,keV
25N,7,18,25,,,,,,,,-24825.0,keV
18N,7,11,18,619,ms,symmetric,,,,,-12975.4343,keV
17N,7,10,17,4.171,s,symmetric,,,,,-11116.7852,keV
20N,7,13,20,136,ms,symmetric,,,,,-17770.1168,keV
19N,7,12,19,336,ms,symmetric,,,,,-15526.0403,keV
10N,7,3,10,2.5,MeV,asymmetric,,,,,-10945.0,keV
11N,7,4,11,780,keV,symmetric,,,,,-5735.8247,keV
12N,7,5,12,10.996,ms,symmetric,,,,,-8008.4167,keV
13N,7,6,13,9.967,m,symmetric,,,,,-9495.9206,keV
14N,7,7,14,STABLE,,,,,,,-11612.1097,keV
15N,7,8,15,STABLE,,,,,,,-10991.1859,keV
16N,7,9,16,7.13,s,symmetric,,,,,-10110.4066,keV
9N,7,2,9,,,,,,,,,
25O,8,17,25,88,keV,symmetric,,,,,-20739.0,keV
26O,8,18,26,0.0045,ns,asymmetric,,,,,-21375.0782,keV
23O,8,15,23,96,ms,symmetric,,,,,-20217.2997,keV
24O,8,16,24,72,ms,symmetric,,,,,-21428.0782,keV
27O,8,19,27,,,,,,,,-21926.0,keV
18O,8,10,18,STABLE,,,,,,,-6227.6255,keV
21O,8,13,21,3.42,s,symmetric,,,,,-15394.7616,keV
22O,8,14,22,2.19,s,symmetric,,,,,-18061.1494,keV
19O,8,11,19,26.47,s,symmetric,,,,,-8965.2032,keV
20O,8,12,20,13.51,s,symmetric,,,,,-12322.8773,keV
28O,8,20,28,100,ns,limit,,,,,,
11O,8,3,11,2.31,MeV,symmetric,,,,,,
12O,8,4,12,51,keV,symmetric,,,,,-5475.8501,keV
13O,8,5,13,8.58,ms,symmetric,,,,,-8220.4554,keV
14O,8,6,14,70.6183,s,symmetric,,,,,-10115.8076,keV
15O,8,7,15,122.268,s,symmetric,,,,,-10218.6907,keV
16O,8,8,16,STABLE,,,,,,,-7161.918,keV
17O,8,9,17,STABLE,,,,,,,-6358.6894,keV
27F,9,18,27,5.3,ms,symmetric,,,,,-14011.8669,keV
28F,9,19,28,180,keV,symmetric,,,,,-15959.0,keV
25F,9,16,25,81,ms,symmetric,,,,,-16322.6644,keV
26F,9,17,26,8.6,ms,symmetric,,,,,-15515.0654,keV
19F,9,10,19,STABLE,,,,,,,-4013.7991,keV
20F,9,11,20,11.0064,s,symmetric,,,,,-8126.2863,keV
23F,9,14,23,2.23,s,symmetric,,,,,-14995.9075,keV
24F,9,15,24,384,ms,symmetric,,,,,-16646.8978,keV
21F,9,12,21,4.158,s,symmetric,,,,,-10342.5998,keV
22F,9,13,22,4.23,s,symmetric,,,,,-12744.7075,keV
30F,9,21,30,250,ns,limit,,,,,,
31F,9,22,31,,,,,,,,,
29F,9,20,29,3.3,ms,symmetric,,,,,-18258.0,keV
13F,9,4,13,,,,,,,,,
14F,9,5,14,910,keV,symmetric,,,,,-9260.5406,keV
15F,9,6,15,0.38,MeV,symmetric,,,,,-10223.8076,keV
16F,9,7,16,23.1,keV,symmetric,,,,,-9087.8022,keV
17F,9,8,17,64.368,s,symmetric,,,,,-5818.6957,keV
18F,9,9,18,109.734,m,symmetric,,,,,-4415.2202,keV
20Ne,10,10,20,STABLE,,,,,,,-4729.8459,keV
21Ne,10,11,21,STABLE,,,,,,,-7347.928,keV
22Ne,10,12,22,STABLE,,,,,,,-9666.8153,keV
23Ne,10,13,23,37.148,s,symmetric,,,,,-10911.8187,keV
24Ne,10,14,24,3.38,m,symmetric,,,,,-12172.73,keV
25Ne,10,15,25,602,ms,symmetric,,,,,-12522.4526,keV
26Ne,10,16,26,196,ms,symmetric,,,,,-11226.8344,keV
27Ne,10,17,27,30.9,ms,symmetric,,,,,-9995.3765,keV
28Ne,10,18,28,18.7,ms,symmetric,,,,,-9625.5821,keV
29Ne,10,19,29,14,ms,symmetric,,,,,-11354.143,keV
30Ne,10,20,30,7.3,ms,symmetric,,,,,-13805.8365,keV
31Ne,10,21,31,3.4,ms,symmetric,,,,,-15913.0,keV
32Ne,10,22,32,4.5,ms,symmetric,,,,,-17506.0,keV
33Ne,10,23,33,180,ns,limit,,,,,,
34Ne,10,24,34,,,,,,,,,
19Ne,10,9,19,17.2569,s,symmetric,,,,,-3528.4845,keV
17Ne,10,7,17,109.1,ms,symmetric,,,,,-9039.8956,keV
18Ne,10,8,18,1.66432,s,asymmetric,,,,,-5115.0797,keV
15Ne,10,5,15,0.59,MeV,symmetric,,,,,-9948.4554,keV
16Ne,10,6,16,80,keV,limit,,,,,-10451.4758,keV
20Na,11,9,20,448,ms,symmetric,,,,,-6249.6092,keV
19Na,11,8,19,40,keV,limit,,,,,-6062.2835,keV
18Na,11,7,18,0.2,MeV,limit,,,,,-9351.3267,keV
17Na,11,6,17,,,,,,,,-9735.0,keV
32Na,11,21,32,13.2,ms,symmetric,,,,,-17188.5604,keV
31Na,11,20,31,17,ms,symmetric,,,,,-15312.3624,keV
34Na,11,23,34,5.5,ms,symmetric,,,,,-19705.0,keV
33Na,11,22,33,8.2,ms,symmetric,,,,,-18794.9932,keV
36Na,11,25,36,,,,,,,,,
35Na,11,24,35,2.4,ms,symmetric,,,,,-21436.0,keV
38Na,11,27,38,,,,,,,,,
37Na,11,26,37,,,,,,,,,
39Na,11,28,39,,,,,,,,,
21Na,11,10,21,22.4548,s,symmetric,,,,,-6561.4745,keV
23Na,11,12,23,STABLE,,,,,,,-10467.3243,keV
22Na,11,11,22,2.6019,y,symmetric,,,,,-8479.4198,keV
25Na,11,14,25,58.9,s,symmetric,,,,,-11735.1243,keV
24Na,11,13,24,14.9578,h,symmetric,,,,,-10825.3534,keV
27Na,11,16,27,301,ms,symmetric,,,,,-11227.9698,keV
26Na,11,15,26,1.07128,s,symmetric,,,,,-12079.0722,keV
29Na,11,18,29,43.2,ms,symmetric,,,,,-11079.0889,keV
28Na,11,17,28,34.6,ms,symmetric,,,,,-10957.747,keV
30Na,11,19,30,44.8,ms,symmetric,,,,,-12624.9011,keV
23Mg,12,11,23,11.3042,s,symmetric,,,,,-9650.644,keV
22Mg,12,10,22,3.87445,s,symmetric,,,,,-8142.5196,keV
25Mg,12,13,25,STABLE,,,,,,,-9885.9215,keV
24Mg,12,12,24,STABLE,,,,,,,-9316.5618,keV
27Mg,12,15,27,9.435,m,symmetric,,,,,-11857.4651,keV
26Mg,12,14,26,STABLE,,,,,,,-10614.7437,keV
29Mg,12,17,29,1.31,s,symmetric,,,,,-11001.7729,keV
28Mg,12,16,28,20.915,h,symmetric,,,,,-11493.219,keV
31Mg,12,19,31,270,ms,symmetric,,,,,-12597.9777,keV
30Mg,12,18,30,314,ms,symmetric,,,,,-11787.402,keV
32Mg,12,20,32,80.4,ms,symmetric,,,,,-14553.5547,keV
34Mg,12,22,34,44.9,ms,symmetric,,,,,-17381.7116,keV
33Mg,12,21,33,90.2,ms,symmetric,,,,,-15861.846,keV
36Mg,12,24,36,7.2,ms,symmetric,,,,,-19044.0,keV
35Mg,12,23,35,11.3,ms,symmetric,,,,,-17966.7238,keV
38Mg,12,26,38,3.1,ms,symmetric,,,,,-21192.0,keV
37Mg,12,25,37,6.4,ms,symmetric,,,,,-20344.0,keV
40Mg,12,28,40,,,,,,,,,
21Mg,12,9,21,120,ms,symmetric,,,,,-8021.5172,keV
39Mg,12,27,39,,,,,,,,,
20Mg,12,8,20,90.4,ms,symmetric,,,,,-8933.997,keV
19Mg,12,7,19,3500,fs,symmetric,,,,,-10801.8956,keV
41Mg,12,29,41,,,,,,,,,
18Mg,12,6,18,115,keV,symmetric,,,,,,
22Al,13,9,22,88.6,ms,symmetric,,,,,-9262.0,keV
21Al,13,8,21,35,ns,limit,,,,,-10055.0,keV
35Al,13,22,35,38.4,ms,symmetric,,,,,-14894.677,keV
36Al,13,23,36,90,ms,symmetric,,,,,-15114.6831,keV
33Al,13,20,33,41.5,ms,symmetric,,,,,-13602.2918,keV
34Al,13,21,34,53.73,ms,symmetric,,,,,-13897.2044,keV
39Al,13,26,39,7.23,ms,symmetric,,,,,-18767.0,keV
40Al,13,27,40,5.7,ms,symmetric,,,,,-19507.0,keV
37Al,13,24,37,11.4,ms,symmetric,,,,,-16395.4644,keV
38Al,13,25,38,9,ms,symmetric,,,,,-17635.0,keV
41Al,13,28,41,3.5,ms,symmetric,,,,,-20969.0,keV
42Al,13,29,42,,,,,,,,-22340.0,keV
43Al,13,30,43,,,,,,,,-24132.0,keV
24Al,13,11,24,2.053,s,symmetric,,,,,-9324.2165,keV
25Al,13,12,25,7.1666,s,symmetric,,,,,-9156.0324,keV
23Al,13,10,23,447,ms,symmetric,,,,,-8606.2292,keV
28Al,13,15,28,2.2483,m,symmetric,,,,,-10857.7346,keV
29Al,13,16,29,6.56,m,symmetric,,,,,-11274.8645,keV
26Al,13,13,26,716594,y,symmetric,,,,,-9453.6638,keV
27Al,13,14,27,STABLE,,,,,,,-10091.9259,keV
32Al,13,19,32,31.7,ms,symmetric,,,,,-12535.969,keV
30Al,13,17,30,3.61,s,symmetric,,,,,-11428.2519,keV
31Al,13,18,31,0.644,s,symmetric,,,,,-11857.8341,keV
44Si,14,30,44,,,,,,,,-22664.0,keV
45Si,14,31,45,,,,,,,,-23435.0,keV
26Si,14,12,26,2.2452,s,symmetric,,,,,-9165.9328,keV
27Si,14,13,27,4.111,s,symmetric,,,,,-9335.7466,keV
24Si,14,10,24,141.4,ms,symmetric,,,,,-9157.4242,keV
25Si,14,11,25,219.2,ms,asymmetric,,,,,-9501.4448,keV
30Si,14,16,30,STABLE,,,,,,,-10643.3347,keV
31Si,14,17,31,157.24,m,symmetric,,,,,-10787.359,keV
28Si,14,14,28,STABLE,,,,,,,-9984.1348,keV
29Si,14,15,29,STABLE,,,,,,,-11127.2154,keV
32Si,14,18,32,163.3,y,symmetric,,,,,-11482.6595,keV
33Si,14,19,33,6.17,s,symmetric,,,,,-12326.8839,keV
37Si,14,23,37,141,ms,symmetric,,,,,-13959.3009,keV
38Si,14,24,38,63,ms,symmetric,,,,,-14918.5391,keV
35Si,14,21,35,0.78,s,symmetric,,,,,-13694.2441,keV
36Si,14,22,36,503,ms,symmetric,,,,,-14032.1404,keV
41Si,14,27,41,20,ms,symmetric,,,,,-17436.0,keV
42Si,14,28,42,15,ms,symmetric,,,,,-19659.0,keV
39Si,14,25,39,38.7,ms,symmetric,,,,,-15744.35,keV
40Si,14,26,40,30.3,ms,symmetric,,,,,-17138.1994,keV
34Si,14,20,34,2.77,s,symmetric,,,,,-13535.2274,keV
43Si,14,29,43,13,ms,symmetric,,,,,-20871.0,keV
23Si,14,9,23,47,ms,symmetric,,,,,-10314.0,keV
22Si,14,8,22,28.4,ms,symmetric,,,,,,
46Si,14,32,46,,,,,,,,,
40P,15,25,40,150,ms,symmetric,,,,,-16514.4895,keV
39P,15,24,39,204,ms,symmetric,,,,,-14975.8218,keV
38P,15,23,38,640,ms,symmetric,,,,,-14048.8619,keV
37P,15,22,37,2.31,s,symmetric,,,,,-12923.5461,keV
44P,15,29,44,18.2,ms,symmetric,,,,,-20135.0,keV
43P,15,28,43,36.5,ms,symmetric,,,,,-18874.0,keV
42P,15,27,42,48.5,ms,symmetric,,,,,-17803.0,keV
41P,15,26,41,101,ms,symmetric,,,,,-17214.2477,keV
36P,15,21,36,5.6,s,symmetric,,,,,-11576.5922,keV
35P,15,20,35,47.3,s,symmetric,,,,,-12332.0163,keV
47P,15,32,47,,,,,,,,-21885.0,keV
46P,15,31,46,,,,,,,,-21575.0,keV
45P,15,30,45,24,ms,symmetric,,,,,-21055.0,keV
29P,15,14,29,4.1022,s,symmetric,,,,,-10461.791,keV
28P,15,13,28,270.3,ms,symmetric,,,,,-9523.9602,keV
27P,15,12,27,260,ms,symmetric,,,,,-9832.0193,keV
26P,15,11,26,43.6,ms,symmetric,,,,,-9653.0,keV
33P,15,18,33,25.35,d,symmetric,,,,,-10554.504,keV
32P,15,17,32,14.267,d,symmetric,,,,,-9879.0727,keV
31P,15,16,31,STABLE,,,,,,,-9668.5967,keV
30P,15,15,30,2.5,m,symmetric,,,,,-10415.6324,keV
25P,15,10,25,30,ns,limit,,,,,-9324.0,keV
34P,15,19,34,12.43,s,symmetric,,,,,-11109.5009,keV
24P,15,9,24,,,,,,,,,
49S,16,33,49,,,,,,,,-19124.0,keV
48S,16,32,48,,,,,,,,-19346.0,keV
47S,16,31,47,,,,,,,,-19554.0,keV
46S,16,30,46,50,ms,symmetric,,,,,-18625.0,keV
31S,16,15,31,2.5534,s,symmetric,,,,,-9082.9421,keV
30S,16,14,30,1.17976,s,symmetric,,,,,-9343.167,keV
29S,16,13,29,188,ms,symmetric,,,,,-9346.661,keV
28S,16,12,28,125,ms,symmetric,,,,,-9096.8986,keV
35S,16,19,35,87.35,d,symmetric,,,,,-8322.0883,keV
34S,16,18,34,STABLE,,,,,,,-7923.6429,keV
33S,16,17,33,STABLE,,,,,,,-7115.6926,keV
32S,16,16,32,STABLE,,,,,,,-6947.6559,keV
27S,16,11,27,16.3,ms,symmetric,,,,,-8884.0,keV
26S,16,10,26,79,ns,limit,,,,,-8385.0,keV
42S,16,26,42,1.016,s,symmetric,,,,,-15892.3645,keV
41S,16,25,41,2.6,s,symmetric,,,,,-14861.9837,keV
40S,16,24,40,8.8,s,symmetric,,,,,-12826.6402,keV
39S,16,23,39,11.5,s,symmetric,,,,,-11196.1074,keV
45S,16,29,45,68,ms,symmetric,,,,,-18965.0,keV
44S,16,28,44,124.5,ms,symmetric,,,,,-17296.028,keV
43S,16,27,43,265,ms,symmetric,,,,,-16940.7282,keV
38S,16,22,38,170.3,m,symmetric,,,,,-9294.4477,keV
37S,16,21,37,5.05,m,symmetric,,,,,-8807.0137,keV
36S,16,20,36,STABLE,,,,,,,-9011.3676,keV
45Cl,17,28,45,413,ms,symmetric,,,,,-15707.6929,keV
46Cl,17,29,46,232,ms,symmetric,,,,,-17251.7068,keV
41Cl,17,24,41,38.4,s,symmetric,,,,,-10736.0951,keV
42Cl,17,25,42,6.8,s,symmetric,,,,,-12635.1209,keV
43Cl,17,26,43,3.13,s,symmetric,,,,,-13809.7908,keV
44Cl,17,27,44,542,ms,symmetric,,,,,-14764.7,keV
37Cl,17,20,37,STABLE,,,,,,,-7849.1172,keV
38Cl,17,21,38,37.236,m,symmetric,,,,,-7674.3302,keV
39Cl,17,22,39,56.2,m,symmetric,,,,,-7367.3246,keV
40Cl,17,23,40,1.33,m,symmetric,,,,,-9731.6896,keV
52Cl,17,35,52,,,,,,,,,
48Cl,17,31,48,,,,,,,,-17815.0,keV
49Cl,17,32,49,,,,,,,,-17646.0,keV
50Cl,17,33,50,,,,,,,,-17565.0,keV
51Cl,17,34,51,,,,,,,,-16945.0,keV
47Cl,17,30,47,101,ms,symmetric,,,,,-17046.0,keV
34Cl,17,17,34,1.5265,s,symmetric,,,,,-6664.1457,keV
35Cl,17,18,35,STABLE,,,,,,,-6997.903,keV
36Cl,17,19,36,301300,y,symmetric,,,,,-7642.0475,keV
30Cl,17,13,30,30,ns,limit,,,,,-8723.0,keV
31Cl,17,14,31,190,ms,symmetric,,,,,-8800.436,keV
32Cl,17,15,32,299.1,ms,symmetric,,,,,-8611.7653,keV
33Cl,17,16,33,2.506,s,symmetric,,,,,-6475.4069,keV
28Cl,17,11,28,,,,,,,,-8175.0,keV
29Cl,17,12,29,20,ns,limit,,,,,-8593.0,keV
54Ar,18,36,54,,,,,,,,,
50Ar,18,32,50,105,ms,symmetric,,,,,-16295.0,keV
51Ar,18,33,51,,,,,,,,-16115.0,keV
52Ar,18,34,52,,,,,,,,-16194.0,keV
53Ar,18,35,53,,,,,,,,-16025.0,keV
48Ar,18,30,48,416,ms,symmetric,,,,,-15575.6067,keV
49Ar,18,31,49,236,ms,symmetric,,,,,-16145.0,keV
36Ar,18,18,36,STABLE,,,,,,,-6640.921,keV
37Ar,18,19,37,35.01,d,symmetric,,,,,-6786.7364,keV
32Ar,18,14,32,98,ms,symmetric,,,,,-8698.4711,keV
33Ar,18,15,33,173,ms,symmetric,,,,,-8714.7873,keV
34Ar,18,16,34,846.46,ms,symmetric,,,,,-6743.9542,keV
35Ar,18,17,35,1.7754,s,symmetric,,,,,-6429.6731,keV
29Ar,18,11,29,,,,,,,,,
30Ar,18,12,30,10,ps,limit,,,,,-8034.0,keV
31Ar,18,13,31,15,ms,symmetric,,,,,-8590.0,keV
47Ar,18,29,47,1.23,s,symmetric,,,,,-15596.7293,keV
43Ar,18,25,43,5.37,m,symmetric,,,,,-11272.0549,keV
44Ar,18,26,44,11.87,m,symmetric,,,,,-12260.3265,keV
45Ar,18,27,45,21.48,s,symmetric,,,,,-13187.1372,keV
46Ar,18,28,46,8.4,s,symmetric,,,,,-14558.4231,keV
39Ar,18,21,39,268,y,symmetric,,,,,-6820.9014,keV
40Ar,18,22,40,STABLE,,,,,,,-6800.675,keV
41Ar,18,23,41,109.61,m,symmetric,,,,,-8595.9996,keV
42Ar,18,24,42,32.9,y,symmetric,,,,,-9986.378,keV
38Ar,18,20,38,STABLE,,,,,,,-7208.0532,keV
59K,19,40,59,,,,,,,,,
46K,19,27,46,96.31,s,symmetric,,,,,-13007.0756,keV
45K,19,26,45,17.79,m,symmetric,,,,,-11733.3678,keV
48K,19,29,48,6.8,s,symmetric,,,,,-14230.4245,keV
47K,19,28,47,17.38,s,symmetric,,,,,-13977.3871,keV
42K,19,23,42,12.359,h,symmetric,,,,,-7648.8307,keV
41K,19,22,41,STABLE,,,,,,,-6222.913,keV
44K,19,25,44,22.13,m,symmetric,,,,,-10648.5952,keV
43K,19,24,43,22.28,h,symmetric,,,,,-9200.0923,keV
40K,19,21,40,1248000000,y,symmetric,,,,,-6438.4047,keV
39K,19,20,39,STABLE,,,,,,,-7218.5796,keV
57K,19,38,57,,,,,,,,,
56K,19,37,56,,,,,,,,-16804.0,keV
58K,19,39,58,,,,,,,,,
53K,19,34,53,30,ms,symmetric,,,,,-15460.0,keV
52K,19,33,52,110,ms,symmetric,,,,,-15282.0,keV
55K,19,36,55,,,,,,,,-16245.0,keV
54K,19,35,54,10,ms,symmetric,,,,,-15275.0,keV
49K,19,30,49,1.26,s,symmetric,,,,,-13773.8671,keV
51K,19,32,51,365,ms,symmetric,,,,,-15360.0,keV
50K,19,31,50,472,ms,symmetric,,,,,-14417.8198,keV
38K,19,19,38,7.645,m,symmetric,,,,,-6785.5898,keV
35K,19,16,35,178,ms,symmetric,,,,,-6563.2566,keV
34K,19,15,34,,,,,,,,-8320.0,keV
37K,19,18,37,1.23647,s,symmetric,,,,,-6221.777,keV
36K,19,17,36,341,ms,symmetric,,,,,-6507.3916,keV
31K,19,12,31,0.01,ns,limit,,,,,,
33K,19,14,33,,,,,,,,-8907.0,keV
32K,19,13,32,,,,,,,,-8705.0,keV
59Ca,20,39,59,,,,,,,,,
58Ca,20,38,58,,,,,,,,-16516.0,keV
57Ca,20,37,57,,,,,,,,-15775.0,keV
56Ca,20,36,56,11,ms,symmetric,,,,,-14556.0,keV
55Ca,20,35,55,22,ms,symmetric,,,,,-14586.0,keV
54Ca,20,34,54,90,ms,symmetric,,,,,-14355.0,keV
53Ca,20,33,53,461,ms,symmetric,,,,,-14752.0,keV
52Ca,20,32,52,4.6,s,symmetric,,,,,-14336.2605,keV
51Ca,20,31,51,10,s,symmetric,,,,,-13389.9515,keV
50Ca,20,30,50,13.45,s,symmetric,,,,,-12242.8911,keV
61Ca,20,41,61,,,,,,,,,
60Ca,20,40,60,,,,,,,,,
39Ca,20,19,39,860.3,ms,symmetric,,,,,-6660.3337,keV
38Ca,20,18,38,443.77,ms,symmetric,,,,,-6105.1265,keV
37Ca,20,17,37,181,ms,symmetric,,,,,-6176.6909,keV
36Ca,20,16,36,100.8,ms,symmetric,,,,,-6675.7297,keV
35Ca,20,15,35,25.7,ms,symmetric,,,,,-8560.0,keV
34Ca,20,14,34,,,,,,,,-9606.0,keV
33Ca,20,13,33,,,,,,,,-9364.0,keV
49Ca,20,29,49,8.718,m,symmetric,,,,,-13954.1172,keV
48Ca,20,28,48,56000000000000000000,y,asymmetric,,,,,-13976.5233,keV
47Ca,20,27,47,4.536,d,symmetric,,,,,-12759.7706,keV
46Ca,20,26,46,STABLE,,,,,,,-11141.8475,keV
45Ca,20,25,45,162.61,d,symmetric,,,,,-10169.6366,keV
44Ca,20,24,44,STABLE,,,,,,,-8853.7456,keV
43Ca,20,23,43,STABLE,,,,,,,-7591.5931,keV
42Ca,20,22,42,STABLE,,,,,,,-6257.3824,keV
41Ca,20,21,41,99400,y,symmetric,,,,,-6615.1452,keV
40Ca,20,20,40,STABLE,,,,,,,-7039.7755,keV
50Sc,21,29,50,102.5,s,symmetric,,,,,-11548.1068,keV
49Sc,21,28,49,57.2,m,symmetric,,,,,-12371.7195,keV
48Sc,21,27,48,43.71,h,symmetric,,,,,-11147.5013,keV
47Sc,21,26,47,3.3491,d,symmetric,,,,,-10186.364,keV
46Sc,21,25,46,83.808,d,symmetric,,,,,-9164.5284,keV
45Sc,21,24,45,STABLE,,,,,,,-7937.6884,keV
44Sc,21,23,44,4.042,h,symmetric,,,,,-6705.454,keV
43Sc,21,22,43,3.891,h,symmetric,,,,,-4805.8704,keV
42Sc,21,21,42,680.79,ms,symmetric,,,,,-5745.1591,keV
41Sc,21,20,41,596.3,ms,symmetric,,,,,-6267.0746,keV
60Sc,21,39,60,,,,,,,,-14955.0,keV
59Sc,21,38,59,,,,,,,,-13725.0,keV
58Sc,21,37,58,12,ms,symmetric,,,,,-12754.0,keV
57Sc,21,36,57,20,ms,symmetric,,,,,-11508.8464,keV
56Sc,21,35,56,26,ms,symmetric,,,,,-10803.1358,keV
55Sc,21,34,55,92,ms,symmetric,,,,,-10751.567,keV
54Sc,21,33,54,526,ms,symmetric,,,,,-11134.9967,keV
53Sc,21,32,53,2.4,s,symmetric,,,,,-11582.9747,keV
52Sc,21,31,52,8.2,s,symmetric,,,,,-10663.9943,keV
51Sc,21,30,51,12.5,s,symmetric,,,,,-9963.287,keV
40Sc,21,19,40,182.4,ms,symmetric,,,,,-5531.0869,keV
39Sc,21,18,39,,,,,,,,-5424.7488,keV
38Sc,21,17,38,,,,,,,,-5454.0,keV
37Sc,21,16,37,,,,,,,,-6185.0,keV
36Sc,21,15,36,,,,,,,,-8264.0,keV
35Sc,21,14,35,,,,,,,,-9585.0,keV
63Sc,21,42,63,,,,,,,,-18105.0,keV
62Sc,21,41,62,,,,,,,,-17045.0,keV
61Sc,21,40,61,,,,,,,,-16055.0,keV
61Ti,22,39,61,15,ms,symmetric,,,,,-12235.0,keV
60Ti,22,38,60,22.2,ms,symmetric,,,,,-11014.223,keV
59Ti,22,37,59,28.5,ms,symmetric,,,,,-9654.0,keV
58Ti,22,36,58,55,ms,symmetric,,,,,-8181.9971,keV
57Ti,22,35,57,94,ms,symmetric,,,,,-7439.0568,keV
56Ti,22,34,56,199,ms,symmetric,,,,,-7581.6397,keV
55Ti,22,33,55,1.3,s,symmetric,,,,,-7925.0749,keV
54Ti,22,32,54,1.6,s,symmetric,,,,,-8579.4981,keV
